FltyId,Longitude,Latitude,Area,Occ,NumStories,FoundationType,FirstFloorHt,FOUND_TYPE,Cost,ContentCost,GooglePlus
12183,-101.311448,48.2166675,1160,RES1,1,7,1.155,SLAB ON GRADE,38500,19250,85WW6MCX+M7
12184,-101.3071005,48.216846,1143,RES1,1,7,1.67,SLAB ON GRADE,127000,63500,85WW6PR7+P9
12185,-101.2954755,48.216009,365,RES3E,1,7,1.155,SLAB ON GRADE,70500,35250,85WW6P83+CR
12186,-101.2820688,48.21387675,5888,RES3E,1,7,1.03,SLAB ON GRADE,1010500,505250,85WW6P79+H5
12187,-101.3301873,48.21151878,734,RES1,2,7,2.985,SLAB ON GRADE,8166,4083,85WW7MCX+4X
12188,-101.322515,48.2132125,747,RES2,1,7,2.83,SLAB ON GRADE,37500,18750,85WW6PJH+9H
12189,-101.3179812,48.21364851,610,RES2,1,7,2.985,SLAB ON GRADE,37500,18750,85WW6PHJ+R7
12190,-101.3206036,48.21552901,1438,RES3A,1,7,1.235,SLAB ON GRADE,75000,37500,85WW6M7M+XC
12191,-101.3206181,48.21565589,1250,RES3A,1,7,1.295,SLAB ON GRADE,117500,58750,85WW6P8C+FC
12192,-101.3011535,48.217479,2806,RES1,2,7,1.205,SLAB ON GRADE,179000,89500,85WW6P9C+WM
12193,-101.3047405,48.21666862,2370,RES1,1,7,1.83,SLAB ON GRADE,153000,76500,85WW6P9C+MM
12194,-101.278465,48.2179735,2674,RES1,1,7,1.2,SLAB ON GRADE,176100,88050,85WW6MJJ+38
12195,-101.2855616,48.21538802,1193,RES1,1,7,1.25,SLAB ON GRADE,95500,47750,85WW6PG6+WF
12196,-101.2930234,48.21593174,1617,RES1,1,7,1.265,SLAB ON GRADE,110500,55250,85WW6PH7+9J
12197,-101.2562275,48.21819203,1322,IND2,1,7,1.845,SLAB ON GRADE,71000,35500,85WW6PF2+49
12198,-101.3199015,48.21200233,1996,COM4,1,7,2.845,SLAB ON GRADE,138000,69000,85WW6PX8+Q7
12199,-101.324536,48.21381103,3312,IND4,1,7,3.295,SLAB ON GRADE,166000,83000,85WW6P9F+RJ
12200,-101.2967653,48.2179562,1557,COM5,1,7,0.97,SLAB ON GRADE,91000,45500,85WW7P72+35
12201,-101.3126688,48.21408537,1248,RES1,1,7,1.395,SLAB ON GRADE,116500,58250,85WW6PJ6+FQ
12202,-101.3011073,48.21592171,422,RES1,1,7,1.185,SLAB ON GRADE,215700,107850,85WW6P8M+2C
12203,-101.2990815,48.216904,1510,RES1,1,7,1.545,SLAB ON GRADE,127000,63500,85WW6PV5+42
12204,-101.2855503,48.21757074,1397,RES1,2,7,1.295,SLAB ON GRADE,121500,60750,85WW6PC6+J6
12205,-101.2922325,48.217821,1909,RES1,2,7,1.155,SLAB ON GRADE,112400,56200,85WW6MQG+CF
12206,-101.287551,48.21484,1882,RES3E,1,7,0.97,SLAB ON GRADE,104000,52000,85WW6P76+WX
12207,-101.2875493,48.21525641,2040,RES1,1,7,1.345,SLAB ON GRADE,81000,40500,85WW6PF2+65
12208,-101.3309016,48.21134134,977,RES1,1,7,1.765,SLAB ON GRADE,35700,17850,85WW6MPX+Q9
12209,-101.3357005,48.21424895,93811,RES6,1,7,1.515,SLAB ON GRADE,6975000,3487500,85WW6M77+PP
12210,-101.3181019,48.21190855,2318,COM4,1,7,1.14,SLAB ON GRADE,119500,59750,85WW7M39+HX
12211,-101.3181803,48.21194922,2288,COM4,1,7,2.22,SLAB ON GRADE,121000,60500,85WW6MX9+55
12212,-101.3217168,48.21468789,663,RES1,1,7,1.14,SLAB ON GRADE,70500,35250,85WW6P95+3H
12213,-101.2787115,48.217973,821,RES1,1,7,1.44,SLAB ON GRADE,127000,63500,85WW6PV6+WQ
12214,-101.286935,48.214445,1953,RES3E,1,7,1.08,SLAB ON GRADE,104500,52250,85WW6P77+Q6
12215,-101.3309052,48.21299504,1118,RES1,1,7,1.565,SLAB ON GRADE,69000,34500,85WW6PHM+XH
12216,-101.3131557,48.21686829,2731,RES1,1,7,3.845,SLAB ON GRADE,216000,108000,85WW6PCC+78
12217,-101.2997775,48.2168795,2785,RES1,1,7,2.465,SLAB ON GRADE,142500,71250,85WW6MCR+HH
12218,-101.2837985,48.214437,1933,RES3E,1,7,1.11,SLAB ON GRADE,106500,53250,85WW6P78+QF
12219,-101.2916829,48.21531244,1949,RES1,1,7,1.09,SLAB ON GRADE,96500,48250,85WW6MQV+JP
12220,-101.287107,48.2166415,1341,RES1,1,7,1.86,SLAB ON GRADE,100700,50350,85WW6MRQ+VJ
12221,-101.3278548,48.21040838,669,RES1,1,7,1.545,SLAB ON GRADE,127000,63500,85WW6MF7+R9
12222,-101.320545,48.21305349,1231,RES2,1,7,2.81,SLAB ON GRADE,12000,6000,85WW6MCH+MV
12223,-101.322243,48.21574341,1537,RES1,1,7,2.19,SLAB ON GRADE,75000,37500,85WW6PH5+78
12224,-101.3094743,48.21669609,975,RES1,2,7,1.97,SLAB ON GRADE,66000,33000,85WW6MC4+JG
12225,-101.2982567,48.21488666,5586,RES3E,1,7,1.175,SLAB ON GRADE,130500,65250,85WW6P72+XM
12226,-101.2997768,48.21489826,1303,RES1,1,7,0.955,SLAB ON GRADE,94500,47250,85WW6P84+GQ
12227,-101.3002725,48.216225,1385,RES1,1,7,1.455,SLAB ON GRADE,113600,56800,85WW6MM8+H7
12228,-101.288861,48.2175415,1242,RES1,1,7,1.17,SLAB ON GRADE,45500,22750,85WW6PF6+56
12229,-101.318963,48.21286262,863,RES2,1,7,2.86,SLAB ON GRADE,37500,18750,85WW6QF3+7J
12230,-101.3173467,48.21489305,2882,RES3A,1,5,1.86,CRAWL SPACE,145000,72500,85WW6M7M+9X
12231,-101.3172225,48.21489424,3222,RES3A,1,5,1.95,CRAWL SPACE,187500,93750,85WW6M8Q+F2
12232,-101.3213451,48.21622662,1281,RES1,1,7,1.235,SLAB ON GRADE,82500,41250,85WW6MQG+FF
12233,-101.3069295,48.214894,2167,RES1,2,7,1.235,SLAB ON GRADE,108500,54250,85WW6M8R+WW
12234,-101.310747,48.215643,2857,RES1,2,7,1.14,SLAB ON GRADE,218000,109000,85WW6PF9+6W
12235,-101.297234,48.21562389,2302,COM1,1,7,1.175,SLAB ON GRADE,104500,52250,85WW7M7W+FJ
12236,-101.2974915,48.21562346,1221,IND4,1,7,2.16,SLAB ON GRADE,92000,46000,85WW6M9W+PP
12237,-101.290323,48.2167025,1136,RES1,1,7,1.14,SLAB ON GRADE,81500,40750,85WW6PH5+Q2
12238,-101.2694185,48.21565822,3641,RES1,1,7,1.19,SLAB ON GRADE,235400,117700,85WW6MJC+JW
12239,-101.3279198,48.21087007,2531,RES1,1,5,1.845,CRAWL SPACE,152600,76300,85WW6MQW+8J
12240,-101.3309227,48.21261921,1122,RES1,1,7,1.64,SLAB ON GRADE,127000,63500,85WW6PR5+9C
12241,-101.3289423,48.21269181,1250,RES3A,1,7,0.94,SLAB ON GRADE,122500,61250,85WW6P8C+8C
12242,-101.3288252,48.21257084,1250,RES3A,1,7,1.14,SLAB ON GRADE,122500,61250,85WW6P8C+8G
12243,-101.319869,48.212597,1591,RES2,1,7,2.825,SLAB ON GRADE,37500,18750,85WW6QF3+3P
12244,-101.320523,48.2133325,1570,RES2,1,7,2.97,SLAB ON GRADE,37500,18750,85WW6QG4+39
12245,-101.3132845,48.2137825,1981,RES1,1,7,1.81,SLAB ON GRADE,102400,51200,85WW6PR2+9G
12246,-101.3005809,48.21535493,864,RES1,1,7,1.035,SLAB ON GRADE,70000,35000,85WW6PF5+2J
12247,-101.2903106,48.21543473,2564,RES1,1,7,1.39,SLAB ON GRADE,127000,63500,85WW6MP9+FH
12248,-101.2696589,48.2135306,1427,IND4,1,7,1.47,SLAB ON GRADE,57000,28500,85WW6PF6+QF
12249,-101.319158,48.213279,1114,RES2,1,7,2.955,SLAB ON GRADE,37500,18750,85WW6QF2+4G
12250,-101.3253246,48.21367619,1553,COM4,1,7,1.095,SLAB ON GRADE,89000,44500,85WW7M7X+CW
