DebrisID,Description,Finishes,Structure,Foundation,Comment
RES6NBFT4,RES6 without basement with footing foundation at 4-8' water,6.8,0,0,
RES6NBFT8,RES6 without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES6NBFT12,RES6 without basement with footing foundation at 12'+ water,13.6,6.5,12,
RES6NBSG0,RES6 without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES6NBSG1,RES6 without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES6NBSG4,RES6 without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES6NBSG8,RES6 without basement with slab on grade foundation at 8-12'+ water,10.9,0,0,
RES6NBSG12,RES6 without basement with slab on grade foundation at 12'+ water,13.6,6.5,25,
EDU1NBFT0,EDU1 without basement with footing foundation at 0-1' water,1.3,0,0,
EDU1NBFT1,EDU1 without basement with footing foundation at 1-4' water,1.3,0,0,
EDU1NBFT4,EDU1 without basement with footing foundation at 4-8' water,2,0,0,
EDU1NBFT8,EDU1 without basement with footing foundation at 8-12'+ water,3.3,0,0,
EDU1NBFT12,EDU1 without basement with footing foundation at 12'+ water,5.3,30.4,21.3,
EDU1NBSG0,EDU1 without basement with slab on grade foundation at 0-1' water,1.3,0,0,
EDU1NBSG1,EDU1 without basement with slab on grade foundation at 1-4' water,1.3,0,0,
EDU1NBSG4,EDU1 without basement with slab on grade foundation at 4-8' water,2,0,0,
EDU1NBSG8,EDU1 without basement with slab on grade foundation at 8-12'+ water,3.3,0,0,
EDU1NBSG12,EDU1 without basement with slab on grade foundation at 12'+ water,5.3,30.4,25,
EDU2NBFT0,EDU2 without basement with footing foundation at 0-1' water,1.3,0,0,
EDU2NBFT1,EDU2 without basement with footing foundation at 1-4' water,1.3,0,0,
EDU2NBFT4,EDU2 without basement with footing foundation at 4-8' water,2,0,0,
EDU2NBFT8,EDU2 without basement with footing foundation at 8-12'+ water,3.3,0,0,
EDU2NBFT12,EDU2 without basement with footing foundation at 12'+ water,5.3,30.4,21.3,
EDU2NBSG0,EDU2 without basement with slab on grade foundation at 0-1' water,1.3,0,0,
EDU2NBSG1,EDU2 without basement with slab on grade foundation at 1-4' water,1.3,0,0,
EDU2NBSG4,EDU2 without basement with slab on grade foundation at 4-8' water,2,0,0,
EDU2NBSG8,EDU2 without basement with slab on grade foundation at 8-12'+ water,3.3,0,0,
EDU2NBSG12,EDU2 without basement with slab on grade foundation at 12'+ water,5.3,30.4,25,
COM1NBFT0,COM1 without basement with footing foundation at 0-1' water,1.8,0,0,
COM1NBFT1,COM1 without basement with footing foundation at 1-4' water,1.8,0,0,
COM1NBFT4,COM1 without basement with footing foundation at 4-8' water,2.5,0,0,
COM1NBFT8,COM1 without basement with footing foundation at 8-12'+ water,4.3,0,0,
COM1NBFT12,COM1 without basement with footing foundation at 12'+ water,5,47.1,2.1,
COM1NBSG0,COM1 without basement with slab on grade foundation at 0-1' water,1.8,0,0,
COM1NBSG1,COM1 without basement with slab on grade foundation at 1-4' water,1.8,0,0,
COM1NBSG4,COM1 without basement with slab on grade foundation at 4-8' water,2.5,0,0,
COM1NBSG8,COM1 without basement with slab on grade foundation at 8-12'+ water,4.3,0,0,
COM1NBSG12,COM1 without basement with slab on grade foundation at 12'+ water,5,47.1,25,
COM2NBFT0,COM2 without basement with footing foundation at 0-1' water,0.5,0,0,
COM2NBFT1,COM2 without basement with footing foundation at 1-4' water,0.5,0,0,
COM2NBFT4,COM2 without basement with footing foundation at 4-8' water,1,0,0,
COM2NBFT8,COM2 without basement with footing foundation at 8-12'+ water,1.5,0,0,
COM2NBFT12,COM2 without basement with footing foundation at 12'+ water,2,50.4,5.2,
COM2NBSG0,COM2 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
COM2NBSG1,COM2 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
COM2NBSG4,COM2 without basement with slab on grade foundation at 4-8' water,1,0,0,
COM2NBSG8,COM2 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
COM2NBSG12,COM2 without basement with slab on grade foundation at 12'+ water,2,50.4,37.5,
COM3NBFT0,COM3 without basement with footing foundation at 0-1' water,0.5,0,0,
COM3NBFT1,COM3 without basement with footing foundation at 1-4' water,0.5,0,0,
COM3NBFT4,COM3 without basement with footing foundation at 4-8' water,1,0,0,
COM3NBFT8,COM3 without basement with footing foundation at 8-12'+ water,1.5,0,0,
COM3NBFT12,COM3 without basement with footing foundation at 12'+ water,2,43.7,8.7,
COM3NBSG0,COM3 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
COM3NBSG1,COM3 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
COM3NBSG4,COM3 without basement with slab on grade foundation at 4-8' water,1,0,0,
COM3NBSG8,COM3 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
COM3NBSG12,COM3 without basement with slab on grade foundation at 12'+ water,2,43.7,25,
COM4NBFT0,COM4 without basement with footing foundation at 0-1' water,1.8,0,0,
COM4NBFT1,COM4 without basement with footing foundation at 1-4' water,1.8,0,0,
COM4NBFT4,COM4 without basement with footing foundation at 4-8' water,2.5,0,0,
COM4NBFT8,COM4 without basement with footing foundation at 8-12'+ water,4.3,0,0,
COM4NBFT12,COM4 without basement with footing foundation at 12'+ water,5,30.3,7.5,
