Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
IND1,I1LN,USACE - Galveston,"Average Heavy Industrial, Inventory",Low Rise,,0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,70,,1,1,1,415
IND1,I1LB,USACE - Galveston,"Average Heavy Industrial, Inventory",Low Rise,,0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,70,1,1,1,1,416
IND1,I1MN,USACE - Galveston,"Average Heavy Industrial, Inventory",Mid Rise,,0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,70,,1,1,1,417
IND1,I1MB,USACE - Galveston,"Average Heavy Industrial, Inventory",Mid Rise,,0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,70,1,1,1,1,418
IND1,I1HN,USACE - Galveston,"Average Heavy Industrial, Inventory",High Rise,,0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,70,,1,1,1,419
IND1,I1HB,USACE - Galveston,"Average Heavy Industrial, Inventory",High Rise,,0,0,0,0,1,18,29,40,49,53,57,61,63,66,66,66,67,69,69,69,70,70,70,70,70,71,71,71,71,70,1,1,1,1,420
IND2,I2LN,USACE - Galveston,"Average Light Industrial, Inventory",Low Rise,,0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,81,,1,1,1,421
IND2,I2LB,USACE - Galveston,"Average Light Industrial, Inventory",Low Rise,,0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,81,1,1,1,1,422
IND2,I2MN,USACE - Galveston,"Average Light Industrial, Inventory",Mid Rise,,0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,81,,1,1,1,423
IND2,I2MB,USACE - Galveston,"Average Light Industrial, Inventory",Mid Rise,,0,0,0,0,0,14,33,48,57,63,67,70,74,75,76,77,78,81,81,81,83,83,84,84,84,84,85,85,85,81,1,1,1,1,424
