InvDmgFnId,Occupancy,Source,Description,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,Comment
87,IND2,USACE - Galveston,"Leather Goods Mfg, Inventory",0,0,0,0,0,7,12,16,20,23,26,27,29,30,30,36,39,41,44,46,49,51,54,57,60,63,66,69,72,NULL
88,IND2,USACE - Galveston,"Industrial Loading Dock, Inventory",0,0,0,0,0,10,10,10,10,10,10,10,20,20,20,20,20,30,30,30,40,40,40,40,40,40,40,40,40,NULL
89,IND2,USACE - Galveston,"Industrial Locker Bldg, Inventory",0,0,0,0,5,25,55,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
90,IND2,USACE - Galveston,"Newspaper Sales Office, Inventory",0,0,0,0,0,17,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
91,IND2,USACE - Galveston,"Manufacturing Facility Office, Inventory",0,0,0,0,0,0,16,21,30,40,45,50,60,75,85,90,90,100,100,100,100,100,100,100,100,100,100,100,100,NULL
92,IND2,USACE - Galveston,"Commercial Printing, Inventory",0,0,0,0,0,10,35,50,70,73,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,NULL
93,IND3,USACE - Galveston,"Average Food/Drugs/Chemicals, Inventory",0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,NULL
94,IND3,USACE - Galveston,"Chemical Plant, Inventory",0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
95,IND3,USACE - Galveston,"Chemical Plant Bonding, Inventory",0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
96,IND3,USACE - Galveston,"Chemical refinery, Inventory",0,0,0,0,0,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
97,IND3,USACE - Galveston,"Deodorizer Bldg, Inventory",0,0,0,0,0,25,50,75,75,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
98,IND3,USACE - Galveston,"Feed Mill, Inventory",0,0,0,0,0,0,0,0,20,22,24,26,28,30,30,30,30,30,30,50,55,60,60,60,60,60,60,60,60,NULL
99,IND3,USACE - Galveston,"Food Processor, Inventory",0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
100,IND3,USACE - Galveston,"Chemical Laboratory, Inventory",0,0,0,0,0,43,60,60,60,60,70,70,80,80,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
101,IND3,USACE - Galveston,"Detergent Manuf. Facil., Inventory",0,0,0,0,0,25,40,55,70,85,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
102,IND3,USACE - Galveston,"Meat Packing, Inventory",0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
103,IND3,USACE - Galveston,"Detergent Mixer Bldg, Inventory",0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
104,IND3,USACE - Galveston,"Plastic Mfg, Inventory",0,0,0,0,0,17,30,40,47,55,62,67,72,77,80,92,99,100,100,100,100,100,100,100,100,100,100,100,100,NULL
105,IND3,USACE - Galveston,"Caustic Material Refinery, Inventory",0,0,0,0,0,0,0,10,20,30,30,40,40,50,50,60,60,70,70,80,80,90,90,100,100,100,100,100,100,NULL
106,IND4,USACE - Galveston,"Average Metals/Minerals Processing, Inventory",0,0,0,0,28,33,36,39,43,47,50,57,62,66,68,71,75,75,75,75,75,75,75,75,75,75,75,75,75,NULL
107,IND4,USACE - Galveston,"Foundry, Inventory",0,0,0,0,11,16,19,21,23,28,35,47,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NULL
108,IND4,USACE - Galveston,"Lead Refinery, Inventory",0,0,0,0,0,16,21,30,40,45,50,60,75,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,NULL
109,IND4,USACE - Galveston,"Sand & Gravel, Inventory",0,0,0,0,0,1,3,6,10,13,16,19,24,27,30,45,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
110,IND4,USACE - Galveston,"Sheet Metal, Inventory",0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
111,IND5,USACE - Galveston,"Average High Technology, Inventory",0,0,0,0,4,24,57,66,74,79,81,82,83,86,87,89,91,92,92,94,95,96,96,97,97,97,97,97,97,IND3 default
112,IND6,USACE - Galveston,"Average Construction, Inventory",0,0,0,0,0,31,45,54,60,65,70,74,78,81,84,89,90,91,92,93,94,95,97,98,99,100,100,100,100,NULL
113,IND6,USACE - Galveston,"Carpet Tile Flooring, Inventory",0,0,0,0,0,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
114,IND6,USACE - Galveston,"Roofing Contractor, Inventory",0,0,0,0,0,10,20,27,36,43,48,53,57,59,60,66,69,72,76,79,83,86,90,93,97,100,100,100,100,NULL
115,IND6,USACE - Galveston,"Plumbing Co, Inventory",0,0,0,0,0,14,25,35,44,53,61,69,77,85,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
116,AGR1,USACE - Galveston,"Agriculture/Dairy Processing, Inventory",0,0,0,0,0,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
